Timestamp,Type,Severity,Message
2026-01-25 23:54:51,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:54:52,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-25 23:54:59,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:55:06,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-25 23:55:14,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:55:23,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:55:32,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:55:39,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-25 23:55:40,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:55:48,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:57:08,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-25 23:57:09,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:57:14,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-25 23:57:17,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:57:25,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:57:28,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-25 23:57:33,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:57:50,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:57:56,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-25 23:57:58,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:58:06,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:58:14,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:58:17,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-25 23:58:22,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:58:28,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-25 23:58:30,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-25 23:58:37,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-25 23:58:38,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:02:11,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:02:12,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:02:19,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:02:21,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:02:28,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:02:29,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:03:20,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 00:03:21,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:03:21,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:03:29,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:03:50,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:03:55,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:04:01,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:04:03,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:04:10,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:04:14,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:04:22,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:04:30,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:04:36,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:04:38,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:04:45,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:04:46,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:04:53,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:04:55,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:22:53,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 00:22:57,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:23:05,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:23:11,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:23:14,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:23:21,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:23:22,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:23:30,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:23:38,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:23:46,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:23:53,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:23:54,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:24:03,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:24:05,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:24:11,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:24:19,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:24:27,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:25:54,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 00:25:57,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:25:57,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:26:05,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:26:09,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:26:17,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:26:25,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:26:34,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:26:40,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:26:44,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:26:49,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:30:38,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 00:30:45,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:30:55,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 00:30:58,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:31:06,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:31:24,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:31:25,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 00:31:42,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 00:31:42,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:31:51,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:31:59,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:32:03,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
